StrainID,Population,Timepoint,Flagged?,Accession
REL11830,m2,20,,SRR2584841
REL11831,m2,20,,SRR2584846
REL11832,m2,30,,SRR2584847
REL11833,m2,30,,SRR2584848
REL11035,m2,40,,SRR1536187
REL11036,m2,40,,SRR2086152
REL11333,m2,50,,SRR2584849
REL11335,m2,50,,SRR2584851
REL764A,m3;m7;m8,0.5,,SRR2584852
REL764B,m3;m7;m8,0.5,,SRR2584853
REL966A,m3;m7;m8,1,,SRR2589001
REL966B,m3;m7;m8,1,,SRR2584856
REL1070A,m3;m7;m8,1.5,,SRR2584857
REL1070B,m3;m7;m8,1.5,,SRR2584858
REL1166A,m3;m7;m8,2,,SRR2584859
REL1166B,m3;m7;m8,2,,SRR2591041
REL2181A,m3;m7;m8,5,,SRR2589044
ZDB409,m3;m7;m8,5,1,SRR098281
REL4538A,m3;m7;m8,10,,SRR2589045
ZDB429,m3;m7;m8,10,1,SRR098282
ZDB446,m3;m7;m8,15,1,SRR098283
REL7179B,m3;m7;m8,15,,SRR2584863
ZDB458,m3;m7;m8,20,1,SRR098284
ZDB464,m3;m7;m8,20,,SRR098285
ZDB16,m3;m7;m8,30,1,SRR098031
ZDB357,m3;m7;m8,30,1,SRR098280
REL10979,m3;m7;m8,40,,SRR098029
REL10988,m3;m7;m8,40,,SRR098030
REL11364,m3,50,,SRR2584864
REL11365,m3,50,,SRR2584866
REL765A,m4,0.5,,SRR2584867
REL765B,m4,0.5,,SRR2584868
REL967A,m4,1,,SRR2584869
REL967B,m4,1,,SRR2584870
REL1071A,m4,1.5,,SRR2584871
REL1071B,m4,1.5,,SRR2591043
REL1167A,m4,2,,SRR2584873
REL1167B,m4,2,,SRR2584874
REL2182A,m4,5,,SRR2591044
REL2182B,m4,5,,SRR2589049
REL4539A,m4,10,,SRR2584878
REL4539B,m4,10,,SRR2589050
REL7180A,m4,15,,SRR2591045
REL7180B,m4,15,,SRR2584881
REL8596A,m4,20,,SRR2584882
REL8596B,m4,20,,SRR2584883
REL10401,m4,30,,SRR2584884
REL10402,m4,30,,SRR2584885
REL10944,m4,40,,SRR1536188
REL10945,m4,40,,SRR2584886
REL11336,m4,50,,SRR2584888
REL11337,m4,50,,SRR2584889
