0, 500, 1000, 1500, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 5500, 6000, 6500, 7000, 7500, 8000, 8500, 9000, 9500, 10000, 10500, 11000, 11500, 12000, 12500, 13000, 13500, 14000, 14500, 15000, 15500, 16000, 16500, 17000, 17500, 18000, 18500, 19000, 19500, 20000, 20500, 21000, 21500, 22000, 22500, 23000, 23500, 24000, 24500, 25000, 25500, 26000, 26500, 27000, 27500, 28000, 28500, 29000, 29500, 30000, 30500, 31000, 31500, 32000, 32500, 33000, 33500, 34000, 34500, 35000, 35500, 36000, 36500, 37000, 37500, 38000, 38500, 39000, 39500, 40000, 40500, 41000, 41500, 42000, 42500, 43000, 43500, 44000, 44500, 45000, 45500, 46000, 46500, 47000, 47500, 48000, 48500, 49000, 49500, 50000, 50500, 51000, 51500, 52000, 52500, 53000, 53500, 54000, 54500, 55000, 55500, 56000, 56500, 57000, 57500, 58000, 58500, 59000, 59500, 60000, 60500
0.001, 0.5, 0.999, 0.987665155314, 0.999, 0.999, 0.98095238095, 0.999, 0.999, 0.987804878049, 0.916719241571, 0.919582326385, 0.940061590011, 0.982832650123, 0.957170863278, 0.974064812641, 0.940326696273, 0.982787783332, 0.975720429284, 0.900675987274, 0.943885874381, 0.940052646269, 0.910146468156, 0.891848746415, 0.868730187744, 0.937910167808, 0.891447447317, 0.854365845641, 0.887086438639, 0.965230282071, 0.98357085771, 0.986348144297, 0.907463803698, 0.940880595371, 0.96440529704, 0.944362235891, 0.934151873825, 0.969439679715, 0.862408150794, 0.901992166622, 0.917241994048, 0.890243919002, 0.87357589719, 0.98849252012, 0.995383194829, 0.98364888124, 0.971639760841, 0.939826917278, 0.902956361994, 0.888948186553, 0.904078548753, 0.942307633368, 0.965970150229, 0.97328476016, 0.926785714292, 0.931730356377, 0.907807675342, 0.883561643836, 0.931592039801, 0.845025510204, 0.968377088305, 0.882352941176, 0.922110552764, 0.909513590844, 0.921328671316, 0.849390243858, 0.865800887462, 0.902002822846, 0.898445568389, 0.881525142904, 0.768470700679, 0.869111461533, 0.851126860106, 0.854397008598, 0.829856781043, 0.653691239548, 0.730823211644, 0.727585738273, 0.808612454496, 0.452927083394, 0.505070422361, 0.779645476787, 0.847352024914, 0.830188679245, 0.639945652174, 0.768679245283, 0.947794415217, 0.788933511825, 0.513714831258, 0.711312547515, 0.784852315622, 0.893207952591, 0.916523199536, 0.91307096508, 0.95068463832, 0.946539009783, 0.979949100107, 0.936380905741, 0.915472525706, 0.952779319371, 0.973360990721, 0.992677390434, 0.986278577952, 0.99740394595, 0.949974477875, 0.97401299387, 0.908031627349, 0.957239459032, 0.972664543524, 0.980456852797, 0.989423076923, 0.981980455331, 0.967606861874, 0.971674589718, 0.951538713831, 0.941724494895, 0.876432134946, 0.945849848386, 0.988354466417, 0.955349568674, 0.955135780047, 0.946448619621
0.001, 0.001, 0.001, 0.0123348446865, 0.001, 0.001, 0.0101998204948, 0.001, 0.001, 0.00824371358765, 0.001, 0.0204646540168, 0.0214526788511, 0.00898602514583, 0.0135335182135, 0.023742458826, 0.00286056719102, 0.0141434154534, 0.0188094287335, 0.0476079130277, 0.0113130049796, 0.0254860060037, 0.0273734837784, 0.0745808555229, 0.0373162378664, 0.0217365533436, 0.001, 0.0324263096932, 0.0175780797389, 0.0118101476883, 0.0144600250859, 0.00977451649285, 0.0507615862473, 0.0539445804539, 0.0151131503395, 0.00618824953726, 0.00673381144928, 0.0151549053263, 0.0245337670188, 0.0494085305198, 0.0244048177359, 0.0105422227836, 0.00362612745481, 0.00842821427604, 0.00461680517097, 0.00773166512894, 0.0270382434037, 0.0505973845326, 0.0930052556901, 0.0916324512046, 0.0959214512467, 0.0566999925396, 0.0340298497709, 0.0236050844422, 0.0661462217931, 0.0682696436233, 0.0873427400551, 0.110665270857, 0.068407960199, 0.14081272115, 0.0316229116945, 0.117647058824, 0.0588238971879, 0.0859481844845, 0.0786713286839, 0.144273128165, 0.134199112538, 0.080645161302, 0.0888888871755, 0.103722539644, 0.226156197308, 0.110511612254, 0.135565059868, 0.130681848384, 0.170143218957, 0.342708588534, 0.264315197166, 0.263367880985, 0.179286287875, 0.511162430484, 0.465559655171, 0.220354523213, 0.112994350337, 0.169811320755, 0.360054347826, 0.231320754717, 0.0492524186312, 0.211066488175, 0.486285168742, 0.288687452485, 0.198548723276, 0.101583764148, 0.0741800834142, 0.0869290349197, 0.0493153616804, 0.0478593408034, 0.0200508998933, 0.0490358922951, 0.0644256030327, 0.0472206806286, 0.0164377581686, 0.00732260956591, 0.0137214220483, 0.00204094144537, 0.0366944009103, 0.0259870061302, 0.0833018075326, 0.0331471559877, 0.0256143181047, 0.0144847198131, 0.010576923077, 0.0145145133511, 0.0323931381256, 0.027371924293, 0.0376115332564, 0.0492994868665, 0.11049946634, 0.0468027174954, 0.0116455335832, 0.0392964595346, 0.0310663941984, 0.0535513803795
406.0, 405.0, 400.0, 395.0, 390.0, 387.0, 383.0, 379.0, 377.0, 374.0, 368.0, 365.0, 360.0, 358.0, 350.0, 348.0, 345.0, 340.0, 332.0, 320.0, 314.0, 312.0, 309.0, 308.0, 304.0, 295.0, 294.0, 290.0, 286.0, 284.0, 280.0, 280.0, 272.0, 267.0, 265.0, 257.0, 250.0, 248.0, 242.0, 235.0, 235.0, 237.0, 226.0, 219.0, 220.0, 218.0, 216.0, 207.0, 203.0, 198.0, 195.0, 195.0, 192.0, 191.0, 186.0, 177.0, 176.0, 173.0, 171.0, 168.0, 161.0, 157.0, 157.0, 146.0, 146.0, 142.0, 142.0, 139.0, 136.0, 136.0, 132.0, 128.0, 125.0, 122.0, 124.0, 118.0, 114.0, 109.0, 107.0, 105.0, 102.0, 101.0, 101.0, 93.0, 91.0, 89.0, 88.0, 87.0, 87.0, 81.0, 74.0, 74.0, 74.0, 73.0, 69.0, 69.0, 68.0, 61.0, 60.0, 55.0, 52.0, 47.0, 44.0, 41.0, 38.0, 37.0, 34.0, 29.0, 22.0, 17.0, 9.0, 6.0, 7.0, 4.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.0, 1.0, 5.0, 7.0, 11.0, 9.0, 13.0, 17.0, 15.0, 18.0, 20.0, 12.0, 16.0, 13.0, 19.0, 18.0, 16.0, 19.0, 24.0, 31.0, 36.0, 38.0, 37.0, 25.0, 29.0, 36.0, 37.0, 41.0, 41.0, 33.0, 32.0, 24.0, 33.0, 38.0, 38.0, 44.0, 47.0, 48.0, 50.0, 52.0, 48.0, 50.0, 61.0, 31.0, 30.0, 31.0, 33.0, 25.0, 26.0, 28.0, 24.0, 25.0, 26.0, 25.0, 30.0, 39.0, 39.0, 41.0, 40.0, 44.0, 51.0, 52.0, 49.0, 60.0, 59.0, 63.0, 62.0, 65.0, 68.0, 65.0, 62.0, 49.0, 36.0, 23.0, 20.0, 25.0, 27.0, 28.0, 27.0, 29.0, 31.0, 25.0, 23.0, 31.0, 31.0, 32.0, 34.0, 35.0, 25.0, 29.0, 33.0, 20.0, 15.0, 15.0, 16.0, 15.0, 15.0, 22.0, 22.0, 27.0, 31.0, 34.0, 32.0, 35.0, 36.0, 37.0, 41.0, 46.0, 50.0, 51.0, 56.0, 55.0, 37.0, 37.0, 36.0, 30.0, 28.0, 26.0, 25.0, 23.0, 22.0, 21.0
0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 9.0, 10.0, 12.0, 14.0, 14.0, 16.0, 17.0, 19.0, 20.0, 20.0, 20.0, 23.0, 32.0, 32.0, 33.0, 33.0, 33.0, 35.0, 44.0, 45.0, 49.0, 48.0, 48.0, 49.0, 50.0, 51.0, 53.0, 56.0, 57.0, 59.0, 55.0, 55.0, 92.0, 91.0, 92.0, 92.0, 99.0, 102.0, 102.0, 102.0, 101.0, 102.0, 102.0, 102.0, 102.0, 102.0, 103.0, 105.0, 104.0, 103.0, 106.0, 108.0, 108.0, 108.0, 108.0, 109.0, 109.0, 109.0, 108.0, 115.0, 120.0, 133.0, 143.0, 142.0, 142.0, 143.0, 146.0, 149.0, 148.0, 149.0, 154.0, 156.0, 156.0, 158.0, 158.0, 157.0, 157.0, 163.0, 163.0, 165.0, 168.0, 171.0, 170.0, 171.0, 171.0, 170.0, 170.0, 171.0, 171.0, 170.0, 169.0, 173.0, 173.0, 174.0, 174.0, 173.0, 171.0, 172.0, 173.0, 174.0, 177.0, 191.0, 192.0, 192.0, 197.0, 200.0, 201.0, 201.0, 203.0, 203.0, 203.0
0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0
0.0, 0.0, 0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 9.0, 9.0, 11.0, 11.0, 11.0, 13.0, 13.0, 13.0, 13.0, 13.0, 13.0, 14.0, 18.0, 18.0, 19.0, 19.0, 19.0, 20.0, 21.0, 25.0, 29.0, 29.0, 29.0, 29.0, 29.0, 30.0, 29.0, 29.0, 30.0, 30.0, 30.0, 30.0, 29.0, 29.0, 29.0, 29.0, 39.0, 39.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 41.0, 42.0, 42.0, 42.0, 42.0, 42.0, 46.0, 46.0, 53.0, 53.0, 55.0, 56.0, 56.0, 57.0, 57.0, 57.0, 58.0, 58.0, 58.0, 58.0, 58.0, 57.0, 57.0, 57.0, 57.0, 61.0, 62.0, 63.0, 69.0, 69.0, 69.0, 71.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 72.0, 73.0, 76.0, 78.0, 79.0, 80.0, 80.0, 80.0, 80.0, 80.0, 81.0, 81.0
0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 5.0, 9.0, 9.0, 9.0, 10.0, 10.0, 11.0, 11.0, 14.0, 15.0, 16.0, 17.0, 21.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 23.0, 23.0, 23.0, 23.0, 23.0, 23.0, 24.0, 25.0, 27.0, 27.0, 27.0, 30.0, 32.0, 32.0, 32.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 34.0, 41.0, 41.0, 42.0, 44.0, 44.0, 44.0, 45.0, 45.0, 46.0, 46.0, 47.0, 47.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 48.0, 53.0, 54.0, 56.0, 57.0, 58.0, 58.0, 59.0, 59.0, 59.0, 59.0, 61.0, 61.0, 61.0, 62.0, 62.0, 62.0, 62.0, 62.0, 63.0, 63.0, 67.0, 69.0, 70.0, 70.0, 70.0, 72.0, 72.0, 72.0, 72.0, 72.0, 75.0, 76.0, 76.0, 77.0, 77.0, 77.0, 79.0, 81.0, 84.0, 86.0, 86.0, 86.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 91.0, 91.0, 92.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 6, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
