Flask,Red.Pop,White.Pop,Generation,Arabinose,R.0,W.0,R.3,W.3,Person,Day.0.Date,Replicate
21,REL 10948,Ara + 3,60000,Positive,90,39,10,52,18,1/19/15,
22,REL 10948,Ara + 4,60000,Positive,92,46,37,41,18,1/19/15,
23,REL 10948,Ara + 5,60000,Positive,91,56,53,69,18,1/19/15,
24,Ara - 1,REL 11648,60000,Negative,6,86,34,26,18,1/19/15,
25,Ara - 4,REL 11648,60000,Negative,32,96,96,28,18,1/19/15,
26,Ara - 5,REL 11648,60000,Negative,65,69,87,46,18,1/19/15,
27,Ara - 6,REL 11648,60000,Negative,77,56,92,37,18,1/19/15,
1,REL 10948,Ara + 1,40000,Positive,76,35,125,48,19,2/8/15,
2,REL 10948,Ara + 2,40000,Positive,68,64,72,98,19,2/8/15,
3,REL 10948,Ara + 3,40000,Positive,85,50,39,60,19,2/8/15,
4,REL 10948,Ara + 4,40000,Positive,60,70,128,105,19,2/8/15,
5,REL 10948,Ara + 5,40000,Positive,70,51,136,60,19,2/8/15,
6,Ara - 1,REL 11648,40000,Negative,49,70,89,93,19,2/8/15,
7,Ara - 4,REL 11648,40000,Negative,44,86,84,84,19,2/8/15,
8,Ara - 5,REL 11648,40000,Negative,57,82,61,109,19,2/8/15,
9,Ara - 6,REL 11648,40000,Negative,79,90,101,71,19,2/8/15,
10,REL 10948,Ara + 1,50000,Positive,67,22,105,28,19,2/8/15,
11,REL 10948,Ara + 2,50000,Positive,62,30,73,116,19,2/8/15,
12,REL 10948,Ara + 3,50000,Positive,69,27,55,40,19,2/8/15,
13,REL 10948,Ara + 4,50000,Positive,87,37,114,56,19,2/8/15,
14,REL 10948,Ara + 5,50000,Positive,69,44,92,76,19,2/8/15,
15,Ara - 1,REL 11648,50000,Negative,69,64,106,67,19,2/8/15,
16,Ara - 4,REL 11648,50000,Negative,26,72,64,107,19,2/8/15,
17,Ara - 5,REL 11648,50000,Negative,51,67,81,114,19,2/8/15,
18,Ara - 6,REL 11648,50000,Negative,34,71,94,120,19,2/8/15,
19,REL 10948,Ara + 1,60000,Positive,62,61,77,96,19,2/8/15,
20,REL 10948,Ara + 2,60000,Positive,49,46,42,121,19,2/8/15,
21,REL 10948,Ara + 3,60000,Positive,65,38,31,75,19,2/8/15,
22,REL 10948,Ara + 4,60000,Positive,67,62,79,83,19,2/8/15,
23,REL 10948,Ara + 5,60000,Positive,78,35,43,55,19,2/8/15,
24,Ara - 1,REL 11648,60000,Negative,35,91,109,50,19,2/8/15,
25,Ara - 4,REL 11648,60000,Negative,27,95,60,78,19,2/8/15,
26,Ara - 5,REL 11648,60000,Negative,54,67,115,71,19,2/8/15,
27,Ara - 6,REL 11648,60000,Negative,41,90,94,90,19,2/8/15,
1,REL 10948,Ara + 1,40000,Positive,50,65,105,21,20,2/11/15,
2,REL 10948,Ara + 2,40000,Positive,65,76,65,91,20,2/11/15,
3,REL 10948,Ara + 3,40000,Positive,74,46,27,74,20,2/11/15,
4,REL 10948,Ara + 4,40000,Positive,62,51,74,70,20,2/11/15,
5,REL 10948,Ara + 5,40000,Positive,60,63,65,56,20,2/11/15,
6,Ara - 1,REL 11648,40000,Negative,25,64,16,103,20,2/11/15,
7,Ara - 4,REL 11648,40000,Negative,58,56,79,44,20,2/11/15,
8,Ara - 5,REL 11648,40000,Negative,90,54,57,73,20,2/11/15,
9,Ara - 6,REL 11648,40000,Negative,79,68,84,64,20,2/11/15,
10,REL 10948,Ara + 1,50000,Positive,76,55,101,33,20,2/11/15,
11,REL 10948,Ara + 2,50000,Positive,84,51,64,74,20,2/11/15,
12,REL 10948,Ara + 3,50000,Positive,77,23,19,44,20,2/11/15,
13,REL 10948,Ara + 4,50000,Positive,85,52,48,53,20,2/11/15,
14,REL 10948,Ara + 5,50000,Positive,72,46,46,49,20,2/11/15,
15,Ara - 1,REL 11648,50000,Negative,36,62,39,27,20,2/11/15,
16,Ara - 4,REL 11648,50000,Negative,27,75,35,72,20,2/11/15,
17,Ara - 5,REL 11648,50000,Negative,66,62,60,54,20,2/11/15,
18,Ara - 6,REL 11648,50000,Negative,77,52,85,51,20,2/11/15,
19,REL 10948,Ara + 1,60000,Positive,57,97,86,66,20,2/11/15,
20,REL 10948,Ara + 2,60000,Positive,76,64,40,88,20,2/11/15,
21,REL 10948,Ara + 3,60000,Positive,79,36,10,71,20,2/11/15,
22,REL 10948,Ara + 4,60000,Positive,73,41,60,66,20,2/11/15,
23,REL 10948,Ara + 5,60000,Positive,89,33,35,60,20,2/11/15,
24,Ara - 1,REL 11648,60000,Negative,31,59,43,25,20,2/11/15,
25,Ara - 4,REL 11648,60000,Negative,53,88,55,19,20,2/11/15,
26,Ara - 5,REL 11648,60000,Negative,42,66,44,40,20,2/11/15,
27,Ara - 6,REL 11648,60000,Negative,43,64,87,52,20,2/11/15,
1,REL 10948,Ara + 1,40000,Positive,60,59,93,67,21,2/25/15,
2,REL 10948,Ara + 2,40000,Positive,77,72,63,59,21,2/25/15,
3,REL 10948,Ara + 3,40000,Positive,61,39,28,49,21,2/25/15,
4,REL 10948,Ara + 4,40000,Positive,71,59,86,46,21,2/25/15,
5,REL 10948,Ara + 5,40000,Positive,66,73,96,76,21,2/25/15,
6,Ara - 1,REL 11648,40000,Negative,69,77,85,89,21,2/25/15,
7,Ara - 4,REL 11648,40000,Negative,45,67,61,67,21,2/25/15,
8,Ara - 5,REL 11648,40000,Negative,96,74,69,102,21,2/25/15,
9,Ara - 6,REL 11648,40000,Negative,80,56,96,75,21,2/25/15,
10,REL 10948,Ara + 1,50000,Positive,73,70,87,45,21,2/25/15,
11,REL 10948,Ara + 2,50000,Positive,73,55,54,96,21,2/25/15,
12,REL 10948,Ara + 3,50000,Positive,81,32,38,72,21,2/25/15,
13,REL 10948,Ara + 4,50000,Positive,79,51,88,55,21,2/25/15,
14,REL 10948,Ara + 5,50000,Positive,107,62,73,66,21,2/25/15,
15,Ara - 1,REL 11648,50000,Negative,42,78,90,32,21,2/25/15,
16,Ara - 4,REL 11648,50000,Negative,45,81,66,46,21,2/25/15,
17,Ara - 5,REL 11648,50000,Negative,73,71,68,46,21,2/25/15,
18,Ara - 6,REL 11648,50000,Negative,64,53,98,77,21,2/25/15,
19,REL 10948,Ara + 1,60000,Positive,91,86,91,71,21,2/25/15,
20,REL 10948,Ara + 2,60000,Positive,94,73,47,81,21,2/25/15,
21,REL 10948,Ara + 3,60000,Positive,53,34,17,51,21,2/25/15,
22,REL 10948,Ara + 4,60000,Positive,81,40,56,87,21,2/25/15,
23,REL 10948,Ara + 5,60000,Positive,69,77,85,89,21,2/25/15,
24,Ara - 1,REL 11648,60000,Negative,33,46,30,28,21,2/25/15,
25,Ara - 4,REL 11648,60000,Negative,28,47,84,36,21,2/25/15,
26,Ara - 5,REL 11648,60000,Negative,33,44,98,48,21,2/25/15,
27,Ara - 6,REL 11648,60000,Negative,48,54,55,36,21,2/25/15,
1,REL 10948,Ara + 1,40000,Positive,102,92,104,73,1,12/31/14,A
2,REL 10948,Ara + 2,40000,Positive,91,94,67,95,1,12/31/14,A
3,REL 10948,Ara + 3,40000,Positive,70,48,42,86,1,12/31/14,A
4,REL 10948,Ara + 4,40000,Positive,101,78,75,63,1,12/31/14,A
5,REL 10948,Ara + 5,40000,Positive,92,73,85,53,1,12/31/14,A
6,Ara - 1,REL 11648,40000,Negative,57,64,91,52,1,12/31/14,A
7,Ara - 4,REL 11648,40000,Negative,61,89,76,39,1,12/31/14,A
8,Ara - 5,REL 11648,40000,Negative,97,68,75,79,1,12/31/14,A
9,Ara - 6,REL 11648,40000,Negative,64,72,103,73,1,12/31/14,A
10,REL 10948,Ara + 1,50000,Positive,101,69,94,43,1,12/31/14,A
11,REL 10948,Ara + 2,50000,Positive,99,63,53,80,1,12/31/14,A
12,REL 10948,Ara + 3,50000,Positive,90,37,37,58,1,12/31/14,A
13,REL 10948,Ara + 4,50000,Positive,77,33,58,31,1,12/31/14,A
14,REL 10948,Ara + 5,50000,Positive,88,49,82,85,1,12/31/14,A
15,Ara - 1,REL 11648,50000,Negative,52,95,110,32,1,12/31/14,A
16,Ara - 4,REL 11648,50000,Negative,47,89,69,32,1,12/31/14,A
17,Ara - 5,REL 11648,50000,Negative,75,84,83,64,1,12/31/14,A
18,Ara - 6,REL 11648,50000,Negative,75,89,103,61,1,12/31/14,A
19,REL 10948,Ara + 1,60000,Positive,84,77,116,63,1,12/31/14,A
20,REL 10948,Ara + 2,60000,Positive,106,70,42,60,1,12/31/14,A
21,REL 10948,Ara + 3,60000,Positive,79,38,33,86,1,12/31/14,A
22,REL 10948,Ara + 4,60000,Positive,84,36,50,70,1,12/31/14,A
23,REL 10948,Ara + 5,60000,Positive,95,33,67,60,1,12/31/14,A
24,Ara - 1,REL 11648,60000,Negative,46,98,80,35,1,12/31/14,A
25,Ara - 4,REL 11648,60000,Negative,41,87,72,28,1,12/31/14,A
26,Ara - 5,REL 11648,60000,Negative,84,80,86,56,1,12/31/14,A
27,Ara - 6,REL 11648,60000,Negative,50,85,83,50,1,12/31/14,A
1,REL 10948,Ara + 1,40000,Positive,88,84,104,55,1,12/31/14,B
2,REL 10948,Ara + 2,40000,Positive,101,79,59,91,1,12/31/14,B
3,REL 10948,Ara + 3,40000,Positive,85,55,34,98,1,12/31/14,B
4,REL 10948,Ara + 4,40000,Positive,95,62,68,82,1,12/31/14,B
5,REL 10948,Ara + 5,40000,Positive,99,51,104,59,1,12/31/14,B
6,Ara - 1,REL 11648,40000,Negative,77,90,104,46,1,12/31/14,B
7,Ara - 4,REL 11648,40000,Negative,60,82,49,76,1,12/31/14,B
8,Ara - 5,REL 11648,40000,Negative,101,93,86,98,1,12/31/14,B
9,Ara - 6,REL 11648,40000,Negative,86,71,109,92,1,12/31/14,B
10,REL 10948,Ara + 1,50000,Positive,83,60,119,49,1,12/31/14,B
11,REL 10948,Ara + 2,50000,Positive,79,57,48,87,1,12/31/14,B
12,REL 10948,Ara + 3,50000,Positive,94,44,34,89,1,12/31/14,B
13,REL 10948,Ara + 4,50000,Positive,83,34,75,59,1,12/31/14,B
14,REL 10948,Ara + 5,50000,Positive,100,59,68,60,1,12/31/14,B
15,Ara - 1,REL 11648,50000,Negative,61,61,82,45,1,12/31/14,B
16,Ara - 4,REL 11648,50000,Negative,47,66,58,22,1,12/31/14,B
17,Ara - 5,REL 11648,50000,Negative,69,83,88,59,1,12/31/14,B
18,Ara - 6,REL 11648,50000,Negative,70,89,119,59,1,12/31/14,B
19,REL 10948,Ara + 1,60000,Positive,89,75,122,62,1,12/31/14,B
20,REL 10948,Ara + 2,60000,Positive,89,53,32,62,1,12/31/14,B
21,REL 10948,Ara + 3,60000,Positive,107,40,18,67,1,12/31/14,B
22,REL 10948,Ara + 4,60000,Positive,100,54,41,98,1,12/31/14,B
23,REL 10948,Ara + 5,60000,Positive,115,31,58,83,1,12/31/14,B
24,Ara - 1,REL 11648,60000,Negative,43,85,88,46,1,12/31/14,B
25,Ara - 4,REL 11648,60000,Negative,55,66,104,28,1,12/31/14,B
26,Ara - 5,REL 11648,60000,Negative,77,84,124,70,1,12/31/14,B
27,Ara - 6,REL 11648,60000,Negative,87,87,101,73,1,12/31/14,B
1,REL 10948,Ara + 1,40000,Positive,80,88,90,46,1,12/31/14,C
2,REL 10948,Ara + 2,40000,Positive,82,75,57,82,1,12/31/14,C
3,REL 10948,Ara + 3,40000,Positive,69,44,31,81,1,12/31/14,C
4,REL 10948,Ara + 4,40000,Positive,82,60,75,67,1,12/31/14,C
5,REL 10948,Ara + 5,40000,Positive,61,70,69,51,1,12/31/14,C
6,Ara - 1,REL 11648,40000,Negative,57,91,80,53,1,12/31/14,C
7,Ara - 4,REL 11648,40000,Negative,67,68,66,54,1,12/31/14,C
8,Ara - 5,REL 11648,40000,Negative,87,66,73,61,1,12/31/14,C
9,Ara - 6,REL 11648,40000,Negative,91,75,103,38,1,12/31/14,C
10,REL 10948,Ara + 1,50000,Positive,73,78,94,45,1,12/31/14,C
11,REL 10948,Ara + 2,50000,Positive,71,65,42,72,1,12/31/14,C
12,REL 10948,Ara + 3,50000,Positive,74,46,35,66,1,12/31/14,C
13,REL 10948,Ara + 4,50000,Positive,72,29,53,29,1,12/31/14,C
14,REL 10948,Ara + 5,50000,Positive,68,67,60,68,1,12/31/14,C
15,Ara - 1,REL 11648,50000,Negative,45,73,63,31,1,12/31/14,C
16,Ara - 4,REL 11648,50000,Negative,65,99,61,61,1,12/31/14,C
17,Ara - 5,REL 11648,50000,Negative,59,56,61,61,1,12/31/14,C
18,Ara - 6,REL 11648,50000,Negative,88,61,89,51,1,12/31/14,C
19,REL 10948,Ara + 1,60000,Positive,70,88,61,56,1,12/31/14,C
20,REL 10948,Ara + 2,60000,Positive,68,53,38,91,1,12/31/14,C
21,REL 10948,Ara + 3,60000,Positive,87,46,26,67,1,12/31/14,C
22,REL 10948,Ara + 4,60000,Positive,88,57,46,63,1,12/31/14,C
23,REL 10948,Ara + 5,60000,Positive,86,57,57,66,1,12/31/14,C
24,Ara - 1,REL 11648,60000,Negative,56,64,77,35,1,12/31/14,C
25,Ara - 4,REL 11648,60000,Negative,57,61,71,26,1,12/31/14,C
26,Ara - 5,REL 11648,60000,Negative,58,67,64,61,1,12/31/14,C
27,Ara - 6,REL 11648,60000,Negative,41,69,65,50,1,12/31/14,C
1,REL 10948,Ara + 1,40000,Positive,79,91,77,54,1,12/31/14,D
2,REL 10948,Ara + 2,40000,Positive,64,70,59,80,1,12/31/14,D
3,REL 10948,Ara + 3,40000,Positive,78,35,23,72,1,12/31/14,D
4,REL 10948,Ara + 4,40000,Positive,76,61,80,62,1,12/31/14,D
5,REL 10948,Ara + 5,40000,Positive,99,73,71,54,1,12/31/14,D
6,Ara - 1,REL 11648,40000,Negative,81,65,91,37,1,12/31/14,D
7,Ara - 4,REL 11648,40000,Negative,68,74,53,52,1,12/31/14,D
8,Ara - 5,REL 11648,40000,Negative,76,82,55,93,1,12/31/14,D
9,Ara - 6,REL 11648,40000,Negative,79,78,90,55,1,12/31/14,D
10,REL 10948,Ara + 1,50000,Positive,88,68,97,37,1,12/31/14,D
11,REL 10948,Ara + 2,50000,Positive,96,60,47,56,1,12/31/14,D
12,REL 10948,Ara + 3,50000,Positive,89,42,25,79,1,12/31/14,D
13,REL 10948,Ara + 4,50000,Positive,70,21,63,37,1,12/31/14,D
14,REL 10948,Ara + 5,50000,Positive,81,53,58,54,1,12/31/14,D
15,Ara - 1,REL 11648,50000,Negative,44,78,72,37,1,12/31/14,D
16,Ara - 4,REL 11648,50000,Negative,40,71,57,42,1,12/31/14,D
17,Ara - 5,REL 11648,50000,Negative,66,66,64,54,1,12/31/14,D
18,Ara - 6,REL 11648,50000,Negative,79,93,101,82,1,12/31/14,D
19,REL 10948,Ara + 1,60000,Positive,75,81,82,61,1,12/31/14,D
20,REL 10948,Ara + 2,60000,Positive,57,53,38,59,1,12/31/14,D
21,REL 10948,Ara + 3,60000,Positive,80,47,22,80,1,12/31/14,D
22,REL 10948,Ara + 4,60000,Positive,75,53,45,80,1,12/31/14,D
23,REL 10948,Ara + 5,60000,Positive,89,46,54,63,1,12/31/14,D
24,Ara - 1,REL 11648,60000,Negative,62,80,70,41,1,12/31/14,D
25,Ara - 4,REL 11648,60000,Negative,60,80,59,29,1,12/31/14,D
26,Ara - 5,REL 11648,60000,Negative,36,89,94,55,1,12/31/14,D
27,Ara - 6,REL 11648,60000,Negative,61,82,54,40,1,12/31/14,D
1,REL 10948,Ara + 1,40000,Positive,77,81,102,54,1,12/31/14,E
2,REL 10948,Ara + 2,40000,Positive,49,73,51,78,1,12/31/14,E
3,REL 10948,Ara + 3,40000,Positive,70,47,48,94,1,12/31/14,E
4,REL 10948,Ara + 4,40000,Positive,72,69,85,69,1,12/31/14,E
5,REL 10948,Ara + 5,40000,Positive,93,68,94,51,1,12/31/14,E
6,Ara - 1,REL 11648,40000,Negative,82,103,89,76,1,12/31/14,E
7,Ara - 4,REL 11648,40000,Negative,61,83,60,46,1,12/31/14,E
8,Ara - 5,REL 11648,40000,Negative,99,70,76,79,1,12/31/14,E
9,Ara - 6,REL 11648,40000,Negative,82,99,92,93,1,12/31/14,E
10,REL 10948,Ara + 1,50000,Positive,77,88,124,34,1,12/31/14,E
11,REL 10948,Ara + 2,50000,Positive,75,61,53,73,1,12/31/14,E
12,REL 10948,Ara + 3,50000,Positive,73,41,41,49,1,12/31/14,E
13,REL 10948,Ara + 4,50000,Positive,62,51,71,40,1,12/31/14,E
14,REL 10948,Ara + 5,50000,Positive,84,72,85,63,1,12/31/14,E
15,Ara - 1,REL 11648,50000,Negative,69,104,95,52,1,12/31/14,E
16,Ara - 4,REL 11648,50000,Negative,70,70,84,39,1,12/31/14,E
17,Ara - 5,REL 11648,50000,Negative,72,68,71,60,1,12/31/14,E
18,Ara - 6,REL 11648,50000,Negative,77,85,99,73,1,12/31/14,E
19,REL 10948,Ara + 1,60000,Positive,70,90,84,48,1,12/31/14,E
20,REL 10948,Ara + 2,60000,Positive,73,58,45,80,1,12/31/14,E
21,REL 10948,Ara + 3,60000,Positive,89,50,42,73,1,12/31/14,E
22,REL 10948,Ara + 4,60000,Positive,69,39,63,76,1,12/31/14,E
23,REL 10948,Ara + 5,60000,Positive,66,41,52,75,1,12/31/14,E
24,Ara - 1,REL 11648,60000,Negative,34,79,63,46,1,12/31/14,E
25,Ara - 4,REL 11648,60000,Negative,50,75,79,22,1,12/31/14,E
26,Ara - 5,REL 11648,60000,Negative,75,72,80,62,1,12/31/14,E
27,Ara - 6,REL 11648,60000,Negative,52,81,80,78,1,12/31/14,E
1,REL 10948,Ara + 1,40000,Positive,66,91,104,71,1,12/31/14,F
2,REL 10948,Ara + 2,40000,Positive,69,67,70,89,1,12/31/14,F
3,REL 10948,Ara + 3,40000,Positive,67,43,44,61,1,12/31/14,F
4,REL 10948,Ara + 4,40000,Positive,73,70,78,83,1,12/31/14,F
5,REL 10948,Ara + 5,40000,Positive,65,63,79,61,1,12/31/14,F
6,Ara - 1,REL 11648,40000,Negative,63,75,58,54,1,12/31/14,F
7,Ara - 4,REL 11648,40000,Negative,44,82,68,60,1,12/31/14,F
8,Ara - 5,REL 11648,40000,Negative,97,80,85,76,1,12/31/14,F
9,Ara - 6,REL 11648,40000,Negative,75,78,98,61,1,12/31/14,F
10,REL 10948,Ara + 1,50000,Positive,79,47,104,28,1,12/31/14,F
11,REL 10948,Ara + 2,50000,Positive,78,64,35,71,1,12/31/14,F
12,REL 10948,Ara + 3,50000,Positive,62,40,53,58,1,12/31/14,F
13,REL 10948,Ara + 4,50000,Positive,52,55,106,70,1,12/31/14,F
14,REL 10948,Ara + 5,50000,Positive,77,72,57,41,1,12/31/14,F
15,Ara - 1,REL 11648,50000,Negative,60,80,72,51,1,12/31/14,F
16,Ara - 4,REL 11648,50000,Negative,46,73,72,61,1,12/31/14,F
17,Ara - 5,REL 11648,50000,Negative,68,83,61,56,1,12/31/14,F
18,Ara - 6,REL 11648,50000,Negative,68,78,73,80,1,12/31/14,F
19,REL 10948,Ara + 1,60000,Positive,80,92,83,54,1,12/31/14,F
20,REL 10948,Ara + 2,60000,Positive,81,45,40,74,1,12/31/14,F
21,REL 10948,Ara + 3,60000,Positive,77,46,37,54,1,12/31/14,F
22,REL 10948,Ara + 4,60000,Positive,74,73,56,63,1,12/31/14,F
23,REL 10948,Ara + 5,60000,Positive,74,52,73,69,1,12/31/14,F
24,Ara - 1,REL 11648,60000,Negative,51,54,65,54,1,12/31/14,F
25,Ara - 4,REL 11648,60000,Negative,46,83,78,40,1,12/31/14,F
26,Ara - 5,REL 11648,60000,Negative,61,86,93,42,1,12/31/14,F
27,Ara - 6,REL 11648,60000,Negative,52,84,77,72,1,12/31/14,F
1,REL 10948,Ara + 1,40000,Positive,72,69,107,65,1,1/14/15,G
2,REL 10948,Ara + 2,40000,Positive,79,61,70,104,1,1/14/15,G
3,REL 10948,Ara + 3,40000,Positive,63,61,40,80,1,1/14/15,G
4,REL 10948,Ara + 4,40000,Positive,67,65,87,88,1,1/14/15,G
5,REL 10948,Ara + 5,40000,Positive,69,66,94,62,1,1/14/15,G
6,Ara - 1,REL 11648,40000,Negative,65,81,94,43,1,1/14/15,G
7,Ara - 4,REL 11648,40000,Negative,62,71,113,37,1,1/14/15,G
8,Ara - 5,REL 11648,40000,Negative,79,62,74,88,1,1/14/15,G
9,Ara - 6,REL 11648,40000,Negative,95,86,114,66,1,1/14/15,G
10,REL 10948,Ara + 1,50000,Positive,87,82,51,89,1,1/14/15,G
11,REL 10948,Ara + 2,50000,Positive,81,45,46,56,1,1/14/15,G
12,REL 10948,Ara + 3,50000,Positive,73,43,23,62,1,1/14/15,G
13,REL 10948,Ara + 4,50000,Positive,69,57,82,48,1,1/14/15,G
14,REL 10948,Ara + 5,50000,Positive,70,53,66,67,1,1/14/15,G
15,Ara - 1,REL 11648,50000,Negative,54,65,77,38,1,1/14/15,G
16,Ara - 4,REL 11648,50000,Negative,48,72,75,31,1,1/14/15,G
17,Ara - 5,REL 11648,50000,Negative,59,69,53,60,1,1/14/15,G
18,Ara - 6,REL 11648,50000,Negative,62,76,111,77,1,1/14/15,G
19,REL 10948,Ara + 1,60000,Positive,60,114,86,71,1,1/14/15,G
20,REL 10948,Ara + 2,60000,Positive,85,56,43,105,1,1/14/15,G
21,REL 10948,Ara + 3,60000,Positive,84,49,28,91,1,1/14/15,G
22,REL 10948,Ara + 4,60000,Positive,73,58,53,93,1,1/14/15,G
23,REL 10948,Ara + 5,60000,Positive,76,26,87,66,1,1/14/15,G
24,Ara - 1,REL 11648,60000,Negative,36,86,71,16,1,1/14/15,G
25,Ara - 4,REL 11648,60000,Negative,55,81,48,17,1,1/14/15,G
26,Ara - 5,REL 11648,60000,Negative,76,68,106,77,1,1/14/15,G
27,Ara - 6,REL 11648,60000,Negative,55,74,82,58,1,1/14/15,G
1,REL 10948,Ara + 1,40000,Positive,81,75,96,87,1,1/14/15,H
2,REL 10948,Ara + 2,40000,Positive,70,56,60,81,1,1/14/15,H
3,REL 10948,Ara + 3,40000,Positive,79,54,33,93,1,1/14/15,H
4,REL 10948,Ara + 4,40000,Positive,64,36,73,59,1,1/14/15,H
5,REL 10948,Ara + 5,40000,Positive,76,66,87,71,1,1/14/15,H
6,Ara - 1,REL 11648,40000,Negative,60,60,86,48,1,1/14/15,H
7,Ara - 4,REL 11648,40000,Negative,41,69,83,39,1,1/14/15,H
8,Ara - 5,REL 11648,40000,Negative,75,69,75,81,1,1/14/15,H
9,Ara - 6,REL 11648,40000,Negative,62,62,90,57,1,1/14/15,H
10,REL 10948,Ara + 1,50000,Positive,98,90,89,96,1,1/14/15,H
11,REL 10948,Ara + 2,50000,Positive,71,32,46,92,1,1/14/15,H
12,REL 10948,Ara + 3,50000,Positive,87,35,29,71,1,1/14/15,H
13,REL 10948,Ara + 4,50000,Positive,80,55,99,53,1,1/14/15,H
14,REL 10948,Ara + 5,50000,Positive,77,65,58,67,1,1/14/15,H
15,Ara - 1,REL 11648,50000,Negative,40,89,79,35,1,1/14/15,H
16,Ara - 4,REL 11648,50000,Negative,62,72,71,23,1,1/14/15,H
17,Ara - 5,REL 11648,50000,Negative,59,106,91,56,1,1/14/15,H
18,Ara - 6,REL 11648,50000,Negative,93,72,130,83,1,1/14/15,H
19,REL 10948,Ara + 1,60000,Positive,74,78,59,49,1,1/14/15,H
20,REL 10948,Ara + 2,60000,Positive,77,62,31,54,1,1/14/15,H
21,REL 10948,Ara + 3,60000,Positive,71,39,19,90,1,1/14/15,H
22,REL 10948,Ara + 4,60000,Positive,90,41,41,100,1,1/14/15,H
23,REL 10948,Ara + 5,60000,Positive,74,42,26,52,1,1/14/15,H
24,Ara - 1,REL 11648,60000,Negative,47,79,39,34,1,1/14/15,H
25,Ara - 4,REL 11648,60000,Negative,49,96,74,31,1,1/14/15,H
26,Ara - 5,REL 11648,60000,Negative,79,88,86,54,1,1/14/15,H
27,Ara - 6,REL 11648,60000,Negative,54,84,74,50,1,1/14/15,H
1,REL 10948,Ara + 1,40000,Positive,90,100,84,57,1,1/14/15,I
2,REL 10948,Ara + 2,40000,Positive,92,56,67,99,1,1/14/15,I
3,REL 10948,Ara + 3,40000,Positive,73,63,41,99,1,1/14/15,I
4,REL 10948,Ara + 4,40000,Positive,79,61,87,75,1,1/14/15,I
5,REL 10948,Ara + 5,40000,Positive,70,69,72,54,1,1/14/15,I
6,Ara - 1,REL 11648,40000,Negative,79,102,96,52,1,1/14/15,I
7,Ara - 4,REL 11648,40000,Negative,65,94,94,55,1,1/14/15,I
8,Ara - 5,REL 11648,40000,Negative,100,80,83,80,1,1/14/15,I
9,Ara - 6,REL 11648,40000,Negative,80,87,129,74,1,1/14/15,I
10,REL 10948,Ara + 1,50000,Positive,93,86,67,71,1,1/14/15,I
11,REL 10948,Ara + 2,50000,Positive,88,54,42,105,1,1/14/15,I
12,REL 10948,Ara + 3,50000,Positive,106,48,37,96,1,1/14/15,I
13,REL 10948,Ara + 4,50000,Positive,99,58,77,60,1,1/14/15,I
14,REL 10948,Ara + 5,50000,Positive,90,58,73,87,1,1/14/15,I
15,Ara - 1,REL 11648,50000,Negative,62,112,75,38,1,1/14/15,I
16,Ara - 4,REL 11648,50000,Negative,57,96,90,45,1,1/14/15,I
17,Ara - 5,REL 11648,50000,Negative,80,100,91,86,1,1/14/15,I
18,Ara - 6,REL 11648,50000,Negative,85,113,106,60,1,1/14/15,I
19,REL 10948,Ara + 1,60000,Positive,83,76,113,82,1,1/14/15,I
20,REL 10948,Ara + 2,60000,Positive,86,58,36,91,1,1/14/15,I
21,REL 10948,Ara + 3,60000,Positive,91,54,31,109,1,1/14/15,I
22,REL 10948,Ara + 4,60000,Positive,115,49,55,97,1,1/14/15,I
23,REL 10948,Ara + 5,60000,Positive,93,65,63,100,1,1/14/15,I
24,Ara - 1,REL 11648,60000,Negative,57,108,64,34,1,1/14/15,I
25,Ara - 4,REL 11648,60000,Negative,57,88,112,40,1,1/14/15,I
26,Ara - 5,REL 11648,60000,Negative,64,94,115,70,1,1/14/15,I
27,Ara - 6,REL 11648,60000,Negative,70,102,88,55,1,1/14/15,I
1,REL 10948,Ara + 1,40000,Positive,91,81,100,60,1,1/22/15,J
2,REL 10948,Ara + 2,40000,Positive,69,30,73,78,1,1/22/15,J
3,REL 10948,Ara + 3,40000,Positive,83,47,32,82,1,1/22/15,J
4,REL 10948,Ara + 4,40000,Positive,68,79,78,74,1,1/22/15,J
5,REL 10948,Ara + 5,40000,Positive,83,57,69,55,1,1/22/15,J
6,Ara - 1,REL 11648,40000,Negative,34,68,85,48,1,1/22/15,J
7,Ara - 4,REL 11648,40000,Negative,71,86,96,53,1,1/22/15,J
8,Ara - 5,REL 11648,40000,Negative,106,76,67,74,1,1/22/15,J
9,Ara - 6,REL 11648,40000,Negative,82,80,89,89,1,1/22/15,J
10,REL 10948,Ara + 1,50000,Positive,46,43,99,54,1,1/22/15,J
11,REL 10948,Ara + 2,50000,Positive,68,10,45,92,1,1/22/15,J
12,REL 10948,Ara + 3,50000,Positive,66,20,26,62,1,1/22/15,J
13,REL 10948,Ara + 4,50000,Positive,79,48,58,59,1,1/22/15,J
14,REL 10948,Ara + 5,50000,Positive,99,88,61,55,1,1/22/15,J
15,Ara - 1,REL 11648,50000,Negative,45,75,67,41,1,1/22/15,J
16,Ara - 4,REL 11648,50000,Negative,50,81,79,49,1,1/22/15,J
17,Ara - 5,REL 11648,50000,Negative,75,70,74,65,1,1/22/15,J
18,Ara - 6,REL 11648,50000,Negative,78,73,79,56,1,1/22/15,J
19,REL 10948,Ara + 1,60000,Positive,80,77,99,68,1,1/22/15,J
