# Raw competition colony counts for all competitions included in analysis of epistasis between the first 5 beneficial mutations (rbs, topA, spoT, glmUS, pykF) to fix in Ara-1 LT population
# Fitness estimates from this file are summarized in 'genotype_fitness.txt', which should be used as the input file for R analysis and figure production scripts. 																							
#1 test strain - all compared against reference genotype REL607																				
#2 test strain genotype	(r=rbs, t=topA, s=spoT, g=glmUS, p=pykF)																			
#3 t0 count of test strain																								
#4 t0 count of reference strain																								
#5 t2 count of test strain																								
#6 t2 count of reference strain																								
#7 Malthusian parameter of test strain																							
#8 Malthusian parameter of reference strain																						
#9 Fitness of test strain relative to the reference strain																				
#10 Experimental block																								
#11 Container used for competition: well = 1 ml medium in 2 ml x 96 ml block; flask 10 ml in 50 ml Erlenmeyer flask																								


TC640	g	92	113	288	246	10.3515	9.9883	1.0364	2	wells														
TC640	g	73	144	183	242	10.1294	9.7295	1.0411	2	wells														
TC640	g	77	103	229	193	10.3003	9.8383	1.0470	2	wells														
TC640	g	194	151	227	115	9.3674	8.9380	1.0480	1	wells														
TC640	g	69	99	232	200	10.4230	9.9135	1.0514	2	wells														
TC640	g	137	126	206	107	9.6182	9.0469	1.0632	1	wells														
TC640	g	63	92	246	175	10.5725	9.8533	1.0730	2	wells														
TC640	g	206	137	239	77	9.3589	8.6342	1.0839	1	wells														
TC640	g	190	140	209	71	9.3057	8.5314	1.0908	1	wells														
TC710	s	187	164	198	108	9.2675	8.7926	1.0540	4	flask														
TC710	s	126	112	232	114	9.8208	9.2280	1.0642	1	wells														
TC710	s	92	81	306	141	10.4121	9.7647	1.0663	2	wells														
TC710	s	91	86	287	136	10.3590	9.6686	1.0714	2	wells														
TC710	s	132	165	210	133	9.6746	8.9947	1.0756	1	wells														
TC710	s	87	84	291	120	10.4178	9.5670	1.0889	2	wells														
TC710	s	145	122	177	68	9.4098	8.6258	1.0909	1	wells														
TC710	s	141	117	214	72	9.6276	8.7248	1.1035	1	wells														
TC710	s	140	190	173	90	9.4220	8.4631	1.1133	4	flask														
TC710	s	141	165	179	78	9.4490	8.4611	1.1168	1	wells														
TC710	s	168	213	192	89	9.3439	8.3377	1.1207	4	wells														
TC710	s	154	114	220	58	9.5670	8.5346	1.1210	1	wells														
TC710	s	151	123	166	43	9.3050	8.1594	1.1404	1	wells														
TC710	s	186	157	206	55	9.3125	8.1614	1.1410	1	wells														
TC710	s	160	184	201	68	9.4385	8.2149	1.1489	1	wells														
TC710	s	80	121	168	61	9.9523	8.5254	1.1674	4	flask														
TC712	t	171	105	215	113	9.4393	9.2838	1.0168	1	wells														
TC712	t	138	170	159	104	9.3520	8.7189	1.0726	5	flask														
TC712	t	185	200	198	113	9.2783	8.6394	1.0739	4	wells														
TC712	t	108	91	247	102	10.0376	9.3245	1.0765	2	wells														
TC712	t	164	141	202	75	9.4187	8.5791	1.0979	1	wells														
TC712	t	89	87	279	104	10.3529	9.3888	1.1027	2	wells														
TC712	t	128	186	166	99	9.4703	8.5797	1.1038	5	flask														
TC712	t	167	117	206	57	9.4202	8.4912	1.1094	1	wells														
